,ds,y,view_duration
303,2017-04-13 15:00:00,1396.0,9436041.0
304,2017-04-13 16:00:00,1649.0,6924334.0
305,2017-04-13 17:00:00,567.0,4817395.0
306,2017-04-13 18:00:00,1052.0,7334942.0
307,2017-04-13 19:00:00,954.0,5227238.0
308,2017-04-13 20:00:00,646.0,3377923.0
309,2017-04-13 21:00:00,1340.0,5750000.0
310,2017-04-13 22:00:00,1057.0,7221511.0
311,2017-04-13 23:00:00,594.0,3121666.0
312,2017-04-14 00:00:00,891.0,5130542.0
313,2017-04-14 01:00:00,50.0,422777.0
314,2017-04-14 02:00:00,341.0,3407000.0
315,2017-04-14 03:00:00,27.0,376500.0
316,2017-04-14 04:00:00,0.0,0.0
317,2017-04-14 05:00:00,0.0,0.0
318,2017-04-14 06:00:00,75.0,691727.0
319,2017-04-14 07:00:00,334.0,1429062.0
320,2017-04-14 08:00:00,831.0,5881437.0
321,2017-04-14 09:00:00,877.0,5792584.0
322,2017-04-14 10:00:00,753.0,7320704.0
323,2017-04-14 11:00:00,881.0,5388444.0
324,2017-04-14 12:00:00,966.0,5334911.0
325,2017-04-14 13:00:00,781.0,2926802.0
326,2017-04-14 14:00:00,730.0,4559281.0
327,2017-04-14 15:00:00,1594.0,9634967.0
328,2017-04-14 16:00:00,916.0,3530690.0
329,2017-04-14 17:00:00,1056.0,5590890.0
330,2017-04-14 18:00:00,1056.0,4557790.0
331,2017-04-14 19:00:00,1292.0,5678389.0
332,2017-04-14 20:00:00,2224.0,11217488.0
333,2017-04-14 21:00:00,1394.0,10013981.0
334,2017-04-14 22:00:00,812.0,5491493.0
335,2017-04-14 23:00:00,1381.0,7212354.0
336,2017-04-15 00:00:00,1534.0,10507954.0
337,2017-04-15 01:00:00,400.0,2204750.0
338,2017-04-15 02:00:00,246.0,946608.0
339,2017-04-15 03:00:00,239.0,686000.0
340,2017-04-15 04:00:00,8.0,26000.0
341,2017-04-15 05:00:00,120.0,681000.0
342,2017-04-15 06:00:00,186.0,914076.0
343,2017-04-15 07:00:00,411.0,2486000.0
344,2017-04-15 08:00:00,953.0,5750613.0
345,2017-04-15 09:00:00,2557.0,14386425.0
346,2017-04-15 10:00:00,2259.0,13471982.0
347,2017-04-15 11:00:00,1597.0,13588746.0
348,2017-04-15 12:00:00,1572.0,7340804.0
349,2017-04-15 13:00:00,1234.0,5810948.0
350,2017-04-15 14:00:00,1479.0,9244771.0
351,2017-04-15 15:00:00,776.0,3751111.0
352,2017-04-15 16:00:00,1098.0,5274612.0
353,2017-04-15 17:00:00,677.0,4248823.0
354,2017-04-15 18:00:00,887.0,6757412.0
355,2017-04-15 19:00:00,730.0,4870571.0
356,2017-04-15 20:00:00,604.0,2603599.0
357,2017-04-15 21:00:00,1053.0,6388893.0
358,2017-04-15 22:00:00,2320.0,12522230.0
359,2017-04-15 23:00:00,2861.0,18423416.0
360,2017-04-16 00:00:00,1158.0,5825818.0
361,2017-04-16 01:00:00,822.0,3537142.0
362,2017-04-16 02:00:00,392.0,1635838.0
363,2017-04-16 03:00:00,178.0,935000.0
364,2017-04-16 04:00:00,8.0,55750.0
365,2017-04-16 05:00:00,199.0,826000.0
366,2017-04-16 06:00:00,90.0,333000.0
367,2017-04-16 07:00:00,823.0,6827305.0
368,2017-04-16 08:00:00,1432.0,7925929.0
369,2017-04-16 09:00:00,1420.0,13598342.0
370,2017-04-16 10:00:00,2362.0,11334879.0
371,2017-04-16 11:00:00,963.0,5421412.0
372,2017-04-16 12:00:00,1540.0,7035335.0
373,2017-04-16 13:00:00,1617.0,12072840.0
374,2017-04-16 14:00:00,2791.0,24232534.0
375,2017-04-16 15:00:00,1510.0,10034505.0
376,2017-04-16 16:00:00,1575.0,6464000.0
377,2017-04-16 17:00:00,2739.0,12241254.0
378,2017-04-16 18:00:00,1679.0,9725541.0
379,2017-04-16 19:00:00,2017.0,11168804.0
380,2017-04-16 20:00:00,2491.0,13640185.0
381,2017-04-16 21:00:00,2897.0,18965847.0
382,2017-04-16 22:00:00,1535.0,9012709.0
383,2017-04-16 23:00:00,1925.0,10407598.0
384,2017-04-17 00:00:00,2145.0,11543019.0
385,2017-04-17 01:00:00,1026.0,6406859.0
386,2017-04-17 02:00:00,321.0,1100083.0
387,2017-04-17 03:00:00,415.0,1848339.0
388,2017-04-17 04:00:00,645.0,3726906.0
389,2017-04-17 05:00:00,388.0,1834961.0
390,2017-04-17 06:00:00,386.0,1264539.0
391,2017-04-17 07:00:00,1212.0,7402618.0
392,2017-04-17 08:00:00,1677.0,7712571.0
393,2017-04-17 09:00:00,2516.0,11974173.0
394,2017-04-17 10:00:00,3088.0,14332786.0
395,2017-04-17 11:00:00,2477.0,9639106.0
396,2017-04-17 12:00:00,4672.0,25191698.0
397,2017-04-17 13:00:00,2290.0,12517634.0
